text,category
local dhaba bokking family use,food
kirana store order one time,food
chaayos paymnt for home,food
dominos delivery while travelling,food
haldirams txn for office,food
haldirams payment urgent,food
mcdonalds expense for home,food
chai point order routine,food
kfc expense for home,food
reliance smart expense family use,food
bigbasket subscription monthly,food
haldirams order routine,food
local dhaba bill monthy,food
dmart recharge during trip,food
reliance smart rechrge for office,food
kirana store txn one time,food
reliance smart delivery while travelling,food
bikanervala delivery while travelling,food
bigbasket monthly charge family use,food
bigbasket subscription during trip,food
chaayos monthly charge during trip,food
reliance smart order during trip,food
mcdonalds recharge urgent,food
irctc pantry recharge late night,food
haldirams purchase for office,food
bikanervala delivery while travelling,food
local dhaba booking urgent,food
zomato bill urgent,food
kfc delivery while travelling,food
chaayos delivery while travelling,food
kfc payment routine,food
irctc pantry delivery while travelling,food
blinkit booking monthly,food
reliance smart order for home,food
bigbasket bill personal,food
local dhaba monthly charge personal,food
swiggy purchase urgent,food
swiggy expense monthly,food
bikanervala expense one time,food
haldirams expense urgent,food
haldirams txn late night,food
haldirams purchase urgent,food
swiggy monthly charge personal,food
irctc pantry bill one time,food
haldirams order late night,food
reliance smart txn routine,food
irctc pantry order for home,food
chaayos bill during trip,food
dominos recharge personal,food
chai point delivery while travelling,food
bigbasket booking routine,food
irctc pantry bokking urgent,food
kfc expense during trip,food
chaayos payment monthly,food
local dhaba monthly charge urgent,food
irctc pantry bill routine,food
dmart booking urgent,food
bigbasket delivery while travelling,food
chai point booking personal,food
zomato subscription urgent,food
kfc expense for office,food
kfc expense personal,food
dominos bill one time,food
dmart purchase monthly,food
reliance smart expense late night,food
bikanervala expense late night,food
kfc recharge personal,food
zepto order late night,food
mcdonalds subscription during trip,food
bigbasket purchase for home,food
haldirams booking family use,food
zepto purchase one time,food
swiggy subscription urgent,food
blinkit subscription urgent,food
dominos order late night,food
bikanervala monthly charge for office,food
mcdonalds recharge monthly,food
dmart txn personal,food
zomato booking family use,food
swiggy delivery while travelling,food
dominos monthly charge for home,food
kirana store recharge monthy,food
haldirams order during trip,food
udupi hotel monthly charge urgent,food
dmart bokking monthly,food
bikanervala delivery while travelling,food
chaayos expense personal,food
zepto bill urgent,food
dmart monthly charge late night,food
mcdonalds recharge one time,food
swiggy order monthy,food
blinkit expense monthly,food
zomato bill during trip,food
bikanervala subscription one time,food
haldirams payment monthly,food
local dhaba recharge for home,food
chaayos purchse urgent,food
dominos booking family use,food
udupi hotel delivery while travelling,food
